source,label,count
topographic_map,수치지형도 매칭,96
public_crosswalk,공공 횡단보도,78
topographic_map_unmatched,수치지형도 미매칭,76
hdmap,HD Map,74
dem,DEM,60
orthophoto,정사영상,30
