sample_id,management_id,target_lat,target_lon,panoid,pano_lat,pano_lon,pano_distance_m,target_bearing_deg,pano_angle_deg,shot_date,shot_tool,street_name,img_path,roadview_link,resolved_url,node_url,contact_path,status
CW31,2025085012,37.39034431,126.9252755,1202969661,37.3903218069797,126.925266465607,2.63,17.7,334.4,2025-11-17 11:57:23,202,냉천로,/2025/11/9149836/2_102538_9149836_20251117025723,"https://map.kakao.com/link/roadview/37.3903443,126.9252755",https://map.kakao.com/?panoid=1202969661&pan=334.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483455.0&urlY=1080835.0,https://rv.map.kakao.com/roadview-search/v2/node/1202969661?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW31/contact.jpg,downloaded
CW32,2025085025,37.39008527,126.9242767,1202970278,37.3900833396448,126.924327172345,4.46,272.8,71.5,2025-11-17 13:29:35,202,현충로,/2025/11/9149836/2_103155_9149836_20251117042935,"https://map.kakao.com/link/roadview/37.3900853,126.9242767",https://map.kakao.com/?panoid=1202970278&pan=71.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483247.0&urlY=1080769.0,https://rv.map.kakao.com/roadview-search/v2/node/1202970278?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW32/contact.jpg,downloaded
CW33,2025085001,37.389999,126.9254801,1202972599,37.3900120149496,126.925519723268,3.79,247.5,251.4,2025-11-17 15:39:09,202,냉천로98번길,/2025/11/9149836/2_104811_9149836_20251117063909,"https://map.kakao.com/link/roadview/37.3899990,126.9254801",https://map.kakao.com/?panoid=1202972599&pan=251.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483511.0&urlY=1080749.0,https://rv.map.kakao.com/roadview-search/v2/node/1202972599?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW33/contact.jpg,downloaded
CW34,2025085002,37.38963959,126.92555,1202969653,37.3896516572501,126.925601384781,4.73,253.5,339.7,2025-11-17 11:57:08,202,냉천로,/2025/11/9149836/2_102530_9149836_20251117025708,"https://map.kakao.com/link/roadview/37.3896396,126.9255500",https://map.kakao.com/?panoid=1202969653&pan=339.7&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483529.0&urlY=1080649.0,https://rv.map.kakao.com/roadview-search/v2/node/1202969653?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW34/contact.jpg,downloaded
CW35,2025085003,37.38960031,126.9256616,1202970043,37.3896120719115,126.925696279698,3.33,246.9,245.9,2025-11-17 13:10:02,202,소곡로,/2025/11/9149836/2_102920_9149836_20251117041002,"https://map.kakao.com/link/roadview/37.3896003,126.9256616",https://map.kakao.com/?panoid=1202970043&pan=245.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483550.0&urlY=1080638.0,https://rv.map.kakao.com/roadview-search/v2/node/1202970043?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW35/contact.jpg,downloaded
CW36,2025085005,37.38949465,126.9254971,1202970045,37.3895290471272,126.925488582499,3.9,168.9,233.1,2025-11-17 13:10:05,202,소곡로,/2025/11/9149836/2_102922_9149836_20251117041005,"https://map.kakao.com/link/roadview/37.3894947,126.9254971",https://map.kakao.com/?panoid=1202970045&pan=233.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483504.0&urlY=1080615.0,https://rv.map.kakao.com/roadview-search/v2/node/1202970045?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW36/contact.jpg,downloaded
CW37,2025085004,37.38944098,126.925658,1202969651,37.389482313354,126.925678340022,4.93,201.4,339.3,2025-11-17 11:57:06,202,냉천로,/2025/11/9149836/2_102528_9149836_20251117025706,"https://map.kakao.com/link/roadview/37.3894410,126.9256580",https://map.kakao.com/?panoid=1202969651&pan=339.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483546.0&urlY=1080602.0,https://rv.map.kakao.com/roadview-search/v2/node/1202969651?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW37/contact.jpg,downloaded
CW38,2025085007,37.38927498,126.9251698,1202970049,37.3892873620789,126.925154569367,1.93,135.7,225.5,2025-11-17 13:10:10,202,소곡로,/2025/11/9149836/2_102926_9149836_20251117041010,"https://map.kakao.com/link/roadview/37.3892750,126.9251698",https://map.kakao.com/?panoid=1202970049&pan=225.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483430.0&urlY=1080548.0,https://rv.map.kakao.com/roadview-search/v2/node/1202970049?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW38/contact.jpg,downloaded
CW39,2025085006,37.38927212,126.925062,1202970050,37.3892224369878,126.925073329361,5.61,349.7,224.2,2025-11-17 13:10:11,202,소곡로,/2025/11/9149836/2_102927_9149836_20251117041011,"https://map.kakao.com/link/roadview/37.3892721,126.9250620",https://map.kakao.com/?panoid=1202970050&pan=224.2&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483412.0&urlY=1080530.0,https://rv.map.kakao.com/roadview-search/v2/node/1202970050?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW39/contact.jpg,downloaded
CW40,2025085008,37.38917431,126.925032,1202970051,37.3891575118404,126.924992089495,3.99,62.1,225.5,2025-11-17 13:10:12,202,소곡로,/2025/11/9149836/2_102928_9149836_20251117041012,"https://map.kakao.com/link/roadview/37.3891743,126.9250320",https://map.kakao.com/?panoid=1202970051&pan=225.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483394.0&urlY=1080512.0,https://rv.map.kakao.com/roadview-search/v2/node/1202970051?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW40/contact.jpg,downloaded
